Depth,Facies_real,Facies_pre
2793.0,3,2
2793.5,3,2
2794.0,3,2
2794.5,3,2
2795.0,3,2
2795.5,3,2
2796.0,3,2
2796.5,3,2
2797.0,3,2
2797.5,3,2
2798.0,3,2
2798.5,3,2
2799.0,3,2
2799.5,3,2
2800.0,2,2
2800.5,2,2
2801.0,2,2
2801.5,2,2
2802.0,2,2
2802.5,2,2
2803.0,2,1
2803.5,2,1
2804.0,2,2
2804.5,2,2
2805.0,2,2
2805.5,3,2
2806.0,3,2
2806.5,2,2
2807.0,2,2
2807.5,2,2
2808.0,2,2
2808.5,2,2
2809.0,2,2
2809.5,3,2
2810.0,3,2
2810.5,3,2
2811.0,3,2
2811.5,3,2
2812.0,3,2
2812.5,3,2
2813.0,3,2
2813.5,2,2
2814.0,2,2
2814.5,8,2
2815.0,8,2
2815.5,8,8
2816.0,8,6
2816.5,6,6
2817.0,6,6
2817.5,6,6
2818.0,6,6
2818.5,6,6
2819.0,6,6
2819.5,6,6
2820.0,6,6
2820.5,6,6
2821.0,6,6
2821.5,6,6
2822.0,6,2
2822.5,6,2
2823.0,7,2
2823.5,7,2
2824.0,4,2
2824.5,4,2
2825.0,4,2
2825.5,4,2
2826.0,4,2
2826.5,6,8
2827.0,6,6
2827.5,6,6
2828.0,6,4
2828.5,6,4
2829.0,6,4
2829.5,6,6
2830.0,6,6
2830.5,6,6
2831.0,6,6
2831.5,6,6
2832.0,6,6
2832.5,6,6
2833.0,6,6
2833.5,6,6
2834.0,6,6
2834.5,6,6
2835.0,6,6
2835.5,6,6
2836.0,6,4
2836.5,6,4
2837.0,6,4
2837.5,6,6
2838.0,6,6
2838.5,6,6
2839.0,6,6
2839.5,6,2
2840.0,3,3
2840.5,3,3
2841.0,3,3
2841.5,3,2
2842.0,3,2
2842.5,2,2
2843.0,2,2
2843.5,2,2
2844.0,2,2
2844.5,2,2
2845.0,2,2
2845.5,2,2
2846.0,2,2
2846.5,2,2
2847.0,3,2
2847.5,3,3
2848.0,3,3
2848.5,3,2
2849.0,3,2
2849.5,3,2
2850.0,2,3
2850.5,2,3
2851.0,2,2
2851.5,2,2
2852.0,2,2
2852.5,2,2
2853.0,2,2
2853.5,2,2
2854.0,2,2
2854.5,2,2
2855.0,2,2
2855.5,3,2
2856.0,3,2
2856.5,3,3
2857.0,3,2
2857.5,3,2
2858.0,3,2
2858.5,3,3
2859.0,5,2
2859.5,5,8
2860.0,5,8
2860.5,5,6
2861.0,8,6
2861.5,8,6
2862.0,8,6
2862.5,8,6
2863.0,8,6
2863.5,8,6
2864.0,8,6
2864.5,6,6
2865.0,6,6
2865.5,6,6
2866.0,6,6
2866.5,6,6
2867.0,6,6
2867.5,6,6
2868.0,3,6
2868.5,3,6
2869.0,3,4
2869.5,3,4
2870.0,2,3
2870.5,2,2
2871.0,2,2
2871.5,2,2
2872.0,2,2
2872.5,3,3
2873.0,3,3
2873.5,3,3
2874.0,3,2
2874.5,3,2
2875.0,3,2
2875.5,2,2
2876.0,2,2
2876.5,2,2
2877.0,2,2
2877.5,2,2
2878.0,2,2
2878.5,2,2
2879.0,2,2
2879.5,2,2
2880.0,3,2
2880.5,3,3
2881.0,3,3
2881.5,3,2
2882.0,7,2
2882.5,7,8
2883.0,7,8
2883.5,8,8
2884.0,8,6
2884.5,8,6
2885.0,8,6
2885.5,8,6
2886.0,8,6
2886.5,8,6
2887.0,8,6
2887.5,8,6
2888.0,8,6
2888.5,6,6
2889.0,6,6
2889.5,6,6
2890.0,2,2
2890.5,2,2
2891.0,2,2
2891.5,2,2
2892.0,2,2
2892.5,2,3
2893.0,2,2
2893.5,2,2
2894.0,2,2
2894.5,2,2
2895.0,2,2
2895.5,2,2
2896.0,2,2
2896.5,2,2
2897.0,2,2
2897.5,2,2
2898.0,2,2
2898.5,2,3
2899.0,2,3
2899.5,2,2
2900.0,2,2
2900.5,2,2
2901.0,2,2
2901.5,2,2
2902.0,2,2
2902.5,2,2
2903.0,3,3
2903.5,3,3
2904.0,3,3
2904.5,3,3
2905.0,8,2
2905.5,8,8
2906.0,8,8
2906.5,8,8
2907.0,8,8
2907.5,8,8
2908.0,8,8
2908.5,8,8
2909.0,8,8
2909.5,8,8
2910.0,8,8
2910.5,8,8
2911.0,2,2
2911.5,2,2
2912.0,2,2
2912.5,2,2
2913.0,2,2
2913.5,2,2
2914.0,2,2
2914.5,2,2
2915.0,2,2
2915.5,2,2
2916.0,2,2
2916.5,2,2
2917.0,2,2
2917.5,2,2
2918.0,2,2
2918.5,2,2
2919.0,2,2
2919.5,2,1
2920.0,2,2
2920.5,2,2
2921.0,2,2
2921.5,2,2
2922.0,2,3
2922.5,2,3
2923.0,2,3
2923.5,2,3
2924.0,2,3
2924.5,2,3
2925.0,2,2
2925.5,8,8
2926.0,8,8
2926.5,8,8
2927.0,8,8
2927.5,8,8
2928.0,8,8
2928.5,8,8
2929.0,6,8
2929.5,6,8
2930.0,3,2
2930.5,3,2
2931.0,2,2
2931.5,2,2
2932.0,3,2
2932.5,3,3
2933.0,3,3
2933.5,3,3
2934.0,3,2
2934.5,3,3
2935.0,3,3
2935.5,3,3
2936.0,3,2
2936.5,3,3
2937.0,3,3
2937.5,3,3
2938.0,6,2
2938.5,6,1
2939.0,6,1
2939.5,6,1
2940.0,6,8
2940.5,8,2
2941.0,8,2
2941.5,8,2
2942.0,8,2
2942.5,8,2
2943.0,8,2
2944.0,8,3
2944.0,8,3
2944.5,8,3
2945.0,8,3
2945.5,8,3
2946.0,6,3
2946.5,6,3
2947.0,8,3
2947.5,4,3
2948.0,4,3
2948.5,3,3
2949.0,3,3
2949.5,3,3
2950.0,3,3
2950.5,3,2
2951.0,3,2
2951.5,3,2
2952.0,3,2
2952.5,3,2
2953.0,3,2
2953.5,3,2
2954.0,3,2
2954.5,3,2
2955.0,3,2
2955.5,3,2
2956.0,3,2
2956.5,3,2
2957.0,3,2
2957.5,3,2
2958.0,3,2
2958.5,3,2
2959.0,3,2
2959.5,3,2
2960.0,3,2
2960.5,3,2
2961.0,3,2
2961.5,3,2
2962.0,3,2
2962.5,3,2
2963.0,3,2
2963.5,3,2
2964.0,3,2
2964.5,3,2
2965.0,3,2
2965.5,3,2
2966.0,3,2
2966.5,3,2
2967.0,2,2
2967.5,2,2
2968.0,2,2
2968.5,2,2
2969.0,2,2
2969.5,2,2
2970.0,2,2
2970.5,2,2
2971.0,3,2
2971.5,3,2
2972.0,3,2
2972.5,3,2
2973.0,3,2
2973.5,3,2
2974.0,3,2
2974.5,3,2
2975.0,3,2
2975.5,3,2
2976.0,3,2
2976.5,3,2
2977.0,5,2
2977.5,5,8
2978.0,5,8
2978.5,5,8
2979.0,5,6
2979.5,5,6
2980.0,8,6
2980.5,8,8
2981.0,8,8
2981.5,8,6
2982.0,5,6
2982.5,5,4
2983.0,5,4
2983.5,5,6
2984.0,8,8
2984.5,8,8
2985.0,8,8
2985.5,8,8
2986.0,5,8
2986.5,5,8
2987.0,5,8
2987.5,5,8
2988.0,5,8
2988.5,5,8
2989.0,5,8
2989.5,5,6
2990.0,5,6
2990.5,5,6
2991.0,5,6
2991.5,5,6
2992.0,5,6
2992.5,5,6
2993.0,5,6
2993.5,5,6
2994.0,5,6
2994.5,5,6
2995.0,5,6
2995.5,5,6
2996.0,5,6
2996.5,5,6
2997.0,5,6
2997.5,5,6
2998.0,5,6
2998.5,5,6
2999.0,5,6
2999.5,5,6
3000.0,4,4
3000.5,4,4
3001.0,4,4
3001.5,4,4
3002.0,4,4
3002.5,5,4
3003.0,5,4
3003.5,5,6
3004.0,5,6
3004.5,5,6
3005.0,5,6
3005.5,5,6
3006.0,5,6
3006.5,5,6
3007.0,5,6
3007.5,5,6
3008.0,5,6
3008.5,5,6
3009.0,5,6
3009.5,5,6
3010.0,5,6
3010.5,5,6
3011.0,5,6
3011.5,5,6
3012.0,5,6
3012.5,5,4
3013.0,4,4
3013.5,4,2
3014.0,4,2
3014.5,4,2
3015.0,4,4
3015.5,4,4
3016.0,6,6
3016.5,6,6
3017.0,6,6
3017.5,6,8
3018.0,9,8
3018.5,9,8
3019.0,9,8
3019.5,9,8
3020.0,9,8
3020.5,9,8
3021.0,9,8
3021.5,9,8
3022.0,9,8
3022.5,9,8
3023.0,9,8
3023.5,9,8
3024.0,8,8
3024.5,8,8
3025.0,8,8
3025.5,8,8
3026.0,8,8
3026.5,8,8
3027.0,8,8
3027.5,8,8
3028.0,8,8
2774.5,2,3
2775.0,2,3
2775.5,2,3
2776.0,2,2
2776.5,2,2
2777.0,2,2
2777.5,2,2
2778.0,2,2
2778.5,2,2
2779.0,2,2
2779.5,2,2
2780.0,2,2
2780.5,2,2
2781.0,2,2
2781.5,2,2
2782.0,2,2
2782.5,2,2
2783.0,2,2
2783.5,2,2
2784.0,2,2
2784.5,2,2
2785.0,1,2
2785.5,1,2
2786.0,1,1
2786.5,1,1
2787.0,1,1
